"","date","site_id","daily_mean_pm10_concentration","state","county","site_longitude","site_latitude","concurred"
"122",2018-05-07,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"123",2018-05-08,"060670010",25,"California","Sacramento",-121.49311,38.56844,"N"
"124",2018-05-09,"060670010",19,"California","Sacramento",-121.49311,38.56844,"N"
"125",2018-05-10,"060670010",28,"California","Sacramento",-121.49311,38.56844,"N"
"126",2018-05-11,"060670010",79,"California","Sacramento",-121.49311,38.56844,"N"
"127",2018-05-12,"060670010",32,"California","Sacramento",-121.49311,38.56844,"N"
"128",2018-05-13,"060670010",21,"California","Sacramento",-121.49311,38.56844,"N"
"129",2018-05-14,"060670010",17,"California","Sacramento",-121.49311,38.56844,"N"
"130",2018-05-15,"060670010",17,"California","Sacramento",-121.49311,38.56844,"N"
"131",2018-05-16,"060670010",14,"California","Sacramento",-121.49311,38.56844,"N"
"132",2018-05-17,"060670010",18,"California","Sacramento",-121.49311,38.56844,"N"
"133",2018-05-18,"060670010",21,"California","Sacramento",-121.49311,38.56844,"N"
"134",2018-05-19,"060670010",22,"California","Sacramento",-121.49311,38.56844,"N"
"135",2018-05-20,"060670010",19,"California","Sacramento",-121.49311,38.56844,"N"
"136",2018-05-21,"060670010",29,"California","Sacramento",-121.49311,38.56844,"N"
"137",2018-05-22,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"138",2018-05-23,"060670010",13,"California","Sacramento",-121.49311,38.56844,"N"
"139",2018-05-24,"060670010",17,"California","Sacramento",-121.49311,38.56844,"N"
"140",2018-05-25,"060670010",11,"California","Sacramento",-121.49311,38.56844,"N"
"141",2018-05-26,"060670010",12,"California","Sacramento",-121.49311,38.56844,"N"
"142",2018-05-27,"060670010",18,"California","Sacramento",-121.49311,38.56844,"N"
"143",2018-05-28,"060670010",21,"California","Sacramento",-121.49311,38.56844,"N"
"144",2018-05-29,"060670010",36,"California","Sacramento",-121.49311,38.56844,"N"
"145",2018-05-30,"060670010",43,"California","Sacramento",-121.49311,38.56844,"N"
"146",2018-05-31,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"147",2018-06-01,"060670010",25,"California","Sacramento",-121.49311,38.56844,"N"
"148",2018-06-02,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"149",2018-06-03,"060670010",25,"California","Sacramento",-121.49311,38.56844,"N"
"150",2018-06-04,"060670010",35,"California","Sacramento",-121.49311,38.56844,"N"
"151",2018-06-05,"060670010",31,"California","Sacramento",-121.49311,38.56844,"N"
"152",2018-06-06,"060670010",28,"California","Sacramento",-121.49311,38.56844,"N"
"153",2018-06-07,"060670010",26,"California","Sacramento",-121.49311,38.56844,"N"
"154",2018-06-08,"060670010",27,"California","Sacramento",-121.49311,38.56844,"N"
"155",2018-06-09,"060670010",16,"California","Sacramento",-121.49311,38.56844,"N"
"156",2018-06-10,"060670010",16,"California","Sacramento",-121.49311,38.56844,"N"
"157",2018-06-11,"060670010",25,"California","Sacramento",-121.49311,38.56844,"N"
"158",2018-06-12,"060670010",28,"California","Sacramento",-121.49311,38.56844,"N"
"159",2018-06-13,"060670010",36,"California","Sacramento",-121.49311,38.56844,"N"
"160",2018-06-19,"060670010",19,"California","Sacramento",-121.49311,38.56844,"N"
"161",2018-06-20,"060670010",17,"California","Sacramento",-121.49311,38.56844,"N"
"162",2018-06-21,"060670010",20,"California","Sacramento",-121.49311,38.56844,"N"
"163",2018-06-22,"060670010",22,"California","Sacramento",-121.49311,38.56844,"N"
"164",2018-06-23,"060670010",28,"California","Sacramento",-121.49311,38.56844,"N"
