place,2020,2021,2022
"Cathedral City city, California","51,569","52,230","52,494"
"Ceres city, California","49,312","49,308","48,988"
"Cerritos city, California","49,402","48,340","47,475"
"Chico city, California","102,135","100,162","101,299"
"Chino city, California","91,131","91,716","93,140"
"Chino Hills city, California","78,468","78,579","77,949"
"Chowchilla city, California","18,815","18,807","18,738"
"Chula Vista city, California","276,041","277,008","279,170"
"Citrus Heights city, California","87,521","87,111","86,433"
"Claremont city, California","37,183","36,674","36,001"
"Clayton city, California","11,062","10,985","10,904"
"Clearlake city, California","16,702","16,805","16,693"
"Cloverdale city, California","8,993","8,986","8,809"
"Clovis city, California","120,660","123,007","124,556"
"Coachella city, California","42,025","42,543","42,835"
"Coalinga city, California","17,654","17,155","17,024"
"Colfax city, California","1,991","2,015","2,021"
"Colma town, California","1,544","1,580","1,550"
"Colton city, California","53,970","54,272","53,918"
"Colusa city, California","6,398","6,396","6,368"
"Commerce city, California","12,317","12,042","11,828"
"Compton city, California","95,411","93,456","91,988"
"Concord city, California","125,256","124,337","122,625"
"Corcoran city, California","22,709","22,644","22,837"
"Corning city, California","8,232","8,196","8,226"
"Corona city, California","157,549","159,782","159,567"
"Coronado city, California","18,136","19,040","18,702"
"Corte Madera town, California","10,217","10,187","10,006"
"Costa Mesa city, California","111,797","110,885","109,521"
"Cotati city, California","7,580","7,529","7,453"
"Covina city, California","51,173","50,370","49,489"
"Crescent City city, California","6,511","6,170","5,983"
"Cudahy city, California","22,740","22,256","21,969"
"Culver City city, California","40,675","39,987","39,515"
"Cupertino city, California","60,157","58,578","57,856"
"Cypress city, California","50,171","49,858","49,243"
"Daly City city, California","104,633","101,482","100,007"
"Dana Point city, California","33,066","32,794","32,465"
"Danville town, California","43,527","43,294","42,732"
"Davis city, California","66,760","67,066","67,048"
"Delano city, California","49,852","50,668","50,843"
"Del Mar city, California","3,946","3,918","3,882"
"Del Rey Oaks city, California","1,588","1,578","1,553"
"Desert Hot Springs city, California","32,498","32,716","33,091"
"Diamond Bar city, California","54,896","53,763","52,855"
"Dinuba city, California","24,666","25,167","25,285"
"Dixon city, California","18,986","19,028","19,143"
"Dorris city, California",860,864,851
"Dos Palos city, California","5,797","5,819","5,820"
"Downey city, California","113,973","111,570","109,934"
"Duarte city, California","21,662","21,271","21,807"
"Dublin city, California","72,524","71,516","72,060"
"Dunsmuir city, California","1,702","1,711","1,687"
"East Palo Alto city, California","29,931","28,897","28,383"
"Eastvale city, California","69,966","71,341","71,024"
"El Cajon city, California","106,126","105,474","104,414"
"El Centro city, California","44,207","44,201","43,811"
"El Cerrito city, California","25,967","25,878","25,583"
"Elk Grove city, California","176,732","178,283","177,558"
"El Monte city, California","109,111","106,918","105,312"
"El Paso de Robles (Paso Robles) city, California","31,555","31,777","31,544"
"El Segundo city, California","17,212","16,867","16,622"
"Emeryville city, California","12,939","12,875","12,913"
"Encinitas city, California","61,988","61,768","61,369"
"Escalon city, California","7,477","7,510","7,448"
"Escondido city, California","151,139","150,679","150,270"
"Etna city, California",675,679,671
"Eureka city, California","26,477","26,369","26,129"
"Exeter city, California","10,327","10,321","10,267"
"Fairfax town, California","7,586","7,557","7,423"
"Fairfield city, California","119,874","119,835","119,338"
"Farmersville city, California","10,408","10,377","10,324"
"Ferndale city, California","1,404","1,406","1,398"
"Fillmore city, California","16,409","16,508","16,657"
"Firebaugh city, California","8,089","8,109","8,418"
"Folsom city, California","80,749","81,687","83,269"
"Fontana city, California","208,620","210,540","212,475"
"Fort Bragg city, California","6,968","6,967","6,881"
"Fort Jones city, California",693,696,689
"Fortuna city, California","12,518","12,518","12,516"
"Foster City city, California","33,685","32,575","32,026"
"Fountain Valley city, California","56,967","56,440","55,930"
"Fowler city, California","6,764","6,950","7,154"
"Fremont city, California","230,194","226,532","223,871"
"Fresno city, California","542,447","543,910","545,567"
"Fullerton city, California","143,419","140,559","140,541"
"Galt city, California","25,405","25,400","25,411"
"Gardena city, California","60,875","59,721","58,843"
"Garden Grove city, California","171,759","170,511","169,254"
"Gilroy city, California","59,383","58,115","58,005"
"Glendale city, California","195,995","192,272","189,221"
"Glendora city, California","52,497","51,592","50,824"
"Goleta city, California","32,738","32,841","32,432"
"Gonzales city, California","8,633","8,577","8,439"
"Grand Terrace city, California","13,166","13,218","13,109"
"Grass Valley city, California","14,009","14,144","13,930"
"Greenfield city, California","18,980","19,075","19,359"
"Gridley city, California","7,370","7,360","7,227"
"Grover Beach city, California","12,696","12,719","12,619"
"Guadalupe city, California","8,124","8,537","8,657"
"Gustine city, California","6,150","6,178","6,181"
"Half Moon Bay city, California","11,765","11,381","11,176"
"Hanford city, California","58,098","58,468","58,470"
"Hawaiian Gardens city, California","14,101","13,808","13,593"
"Hawthorne city, California","87,804","86,010","84,563"
"Hayward city, California","162,602","158,445","156,754"
"Healdsburg city, California","11,347","11,318","11,709"
"Hemet city, California","89,844","90,480","90,689"
"Hercules city, California","26,009","26,114","25,920"
"Hermosa Beach city, California","19,687","19,278","18,985"
"Hesperia city, California","100,090","100,847","100,744"
"Hidden Hills city, California","1,722","1,700","1,694"
"Highland city, California","57,034","57,115","56,705"
"Hillsborough town, California","11,358","11,030","10,956"
"Hollister city, California","41,909","43,326","44,218"
"Holtville city, California","5,600","5,583","5,513"
"Hughson city, California","7,499","7,522","7,734"
"Huntington Beach city, California","198,410","196,463","194,310"
"Huntington Park city, California","54,712","53,584","52,633"
"Huron city, California","6,203","6,225","6,240"
"Imperial city, California","20,417","21,021","21,233"
"Imperial Beach city, California","26,127","25,997","25,791"
"Indian Wells city, California","4,775","4,844","4,860"
"Indio city, California","89,274","90,528","91,980"
"Industry city, California",260,257,255
"Inglewood city, California","107,384","105,097","103,621"
"Ione city, California","5,171","5,234","5,364"
"Irvine city, California","308,974","305,096","313,685"
"Irwindale city, California","1,462","1,438","1,413"
"Isleton city, California",797,793,782
"Jackson city, California","5,002","5,078","5,113"
"Jurupa Valley city, California","105,313","106,982","107,609"
"Kerman city, California","16,039","16,172","16,208"
"King City city, California","13,351","13,436","13,738"
"Kingsburg city, California","12,448","12,664","12,613"
"La Cañada Flintridge city, California","20,506","20,077","19,752"
"Lafayette city, California","25,371","25,230","25,044"
"Laguna Beach city, California","23,000","22,775","22,583"
"Laguna Hills city, California","31,306","30,964","30,568"
"Laguna Niguel city, California","64,226","64,140","63,742"
"Laguna Woods city, California","17,617","17,421","17,192"
"La Habra city, California","63,096","62,599","61,978"
"La Habra Heights city, California","5,661","5,545","5,447"
"Lake Elsinore city, California","70,333","71,505","71,898"
"Lake Forest city, California","85,848","85,631","85,638"
"Lakeport city, California","5,033","5,063","5,026"
"Lakewood city, California","82,213","80,473","79,063"
"La Mesa city, California","61,070","60,733","60,360"
"La Mirada city, California","47,839","46,909","46,323"
"Lancaster city, California","173,040","170,074","169,185"
"La Palma city, California","15,559","15,388","15,194"
"La Puente city, California","37,964","37,232","36,636"
"La Quinta city, California","37,630","38,169","38,392"
"Larkspur city, California","13,045","12,981","12,754"
"Lathrop city, California","29,052","30,601","33,670"
"La Verne city, California","31,500","30,883","30,380"
"Lawndale city, California","31,722","31,088","30,576"
"Lemon Grove city, California","27,614","27,431","27,224"
"Lemoore city, California","27,093","27,312","27,185"
"Lincoln city, California","49,817","50,658","52,534"
"Lindsay city, California","12,650","12,627","12,537"
"Live Oak city, California","9,152","9,295","9,428"
"Livermore city, California","87,880","86,388","84,701"
"Livingston city, California","14,254","14,626","14,760"
"Lodi city, California","66,443","67,023","67,258"
"Loma Linda city, California","24,828","25,096","25,129"
"Lomita city, California","20,849","20,405","20,053"
"Lompoc city, California","44,403","43,278","43,736"
"Long Beach city, California","465,448","454,334","451,307"
"Loomis town, California","6,833","6,871","6,856"
"Los Alamitos city, California","11,771","11,696","11,550"
"Los Altos city, California","31,353","30,554","30,424"
"Los Altos Hills town, California","8,490","8,294","8,168"
"Los Angeles city, California","3,895,836","3,837,986","3,822,238"
"Los Banos city, California","45,675","46,688","47,044"
"Los Gatos town, California","33,427","32,582","32,402"
"Loyalton city, California",738,755,738
"Lynwood city, California","66,815","64,824","64,086"
"McFarland city, California","13,992","14,086","14,019"
"Madera city, California","66,461","67,865","68,050"
"Malibu city, California","10,617","10,416","10,370"
"Mammoth Lakes town, California","7,222","7,277","7,093"
"Manhattan Beach city, California","35,377","34,601","34,137"
"Manteca city, California","83,834","85,716","86,928"
"Maricopa city, California","1,023","1,023","1,020"
"Marina city, California","22,322","22,115","22,503"
"Martinez city, California","37,187","36,871","36,447"
"Marysville city, California","12,854","12,715","12,704"
"Maywood city, California","25,040","24,522","24,122"
"Mendota city, California","12,647","12,734","12,618"
"Menifee city, California","103,158","106,365","109,399"
"Menlo Park city, California","33,669","32,549","32,295"
"Merced city, California","86,648","89,515","91,563"
"Millbrae city, California","23,128","22,317","22,071"
"Mill Valley city, California","14,211","14,157","14,006"
"Milpitas city, California","80,127","78,218","77,738"
"Mission Viejo city, California","93,464","92,436","91,776"
"Modesto city, California","218,654","218,948","218,069"
"Monrovia city, California","37,833","37,456","36,893"
"Montague city, California","1,216","1,223","1,209"
"Montclair city, California","37,904","38,040","37,714"
"Montebello city, California","62,410","61,125","60,569"
"Monterey city, California","30,184","29,952","29,571"
"Monterey Park city, California","60,891","59,586","58,554"
"Monte Sereno city, California","3,471","3,389","3,343"
"Moorpark city, California","36,228","35,974","35,514"
"Moraga town, California","16,868","16,834","16,707"
"Moreno Valley city, California","209,107","211,564","211,924"
"Morgan Hill city, California","45,492","45,386","44,973"
"Morro Bay city, California","10,751","10,785","10,696"
"Mountain View city, California","82,430","81,675","81,059"
"Mount Shasta city, California","3,219","3,236","3,192"
"Murrieta city, California","111,318","113,006","113,783"
"Napa city, California","79,039","78,855","78,315"
"National City city, California","56,115","55,927","55,550"
"Needles city, California","4,921","4,897","4,858"
"Nevada City city, California","3,147","3,172","3,112"
"Newark city, California","47,612","47,134","47,312"
"Newman city, California","12,387","12,367","12,272"
"Newport Beach city, California","85,208","84,713","83,993"
"Norco city, California","25,394","24,671","25,042"
"Norwalk city, California","102,410","100,313","98,537"
"Novato city, California","53,100","52,904","52,184"
"Oakdale city, California","23,201","23,247","23,176"
"Oakland city, California","440,873","436,291","430,553"
"Oakley city, California","43,468","43,821","44,688"
"Oceanside city, California","173,914","172,919","172,199"
"Ojai city, California","7,622","7,604","7,540"
"Ontario city, California","175,852","177,845","179,061"
"Orange city, California","139,428","137,295","136,178"
"Orange Cove city, California","9,639","9,615","9,525"
"Orinda city, California","19,516","19,503","19,355"
"Orland city, California","8,302","8,311","8,217"
"Oroville city, California","19,958","19,935","20,041"
"Oxnard city, California","202,244","202,054","200,415"
"Pacifica city, California","38,496","37,155","36,517"
"Pacific Grove city, California","15,075","15,000","14,791"
"Palmdale city, California","168,863","165,452","163,463"
"Palm Desert city, California","51,200","51,591","51,583"
"Palm Springs city, California","44,624","45,079","45,223"
"Palo Alto city, California","68,385","66,735","66,010"
"Palos Verdes Estates city, California","13,309","13,026","12,792"
"Paradise town, California","4,744","5,274","6,516"
"Paramount city, California","53,578","52,485","51,653"
"Parlier city, California","14,616","14,689","14,554"
"Pasadena city, California","138,304","135,932","134,211"
"Patterson city, California","23,788","23,813","23,833"
"Perris city, California","78,861","79,825","80,263"
"Petaluma city, California","59,776","59,589","58,652"
"Pico Rivera city, California","61,890","60,696","59,781"
"Piedmont city, California","11,251","11,017","10,811"
"Pinole city, California","19,003","18,858","18,582"
"Pismo Beach city, California","8,059","8,041","8,044"
"Pittsburg city, California","76,605","76,662","77,572"
"Placentia city, California","51,723","51,236","51,951"
"Placerville city, California","10,732","10,816","10,664"
"Pleasant Hill city, California","34,600","34,404","33,913"
"Pleasanton city, California","79,676","77,904","76,689"
"Plymouth city, California","1,079","1,099","1,112"
"Point Arena city, California",466,472,465
"Pomona city, California","151,033","147,125","146,017"
"Porterville city, California","62,666","62,788","62,998"
"Port Hueneme city, California","21,960","21,735","21,407"
"Portola city, California","2,094","2,108","2,041"
"Portola Valley town, California","4,441","4,296","4,244"
"Poway city, California","48,779","48,408","48,078"
"Rancho Cordova city, California","79,503","80,210","80,598"
"Rancho Cucamonga city, California","174,571","175,169","176,336"
"Rancho Mirage city, California","17,044","17,339","17,633"
"Rancho Palos Verdes city, California","42,140","41,256","40,527"
"Rancho Santa Margarita city, California","47,873","47,340","46,722"
"Red Bluff city, California","14,666","14,575","14,416"
"Redding city, California","93,479","93,422","92,906"
"Redlands city, California","73,257","73,538","73,849"
"Redondo Beach city, California","71,333","69,898","68,918"
"Redwood City city, California","84,131","81,522","80,512"
"Reedley city, California","25,221","25,174","25,441"
"Rialto city, California","104,125","104,305","103,545"
"Richmond city, California","116,367","115,731","114,301"
"Ridgecrest city, California","27,982","28,150","28,346"
"Rio Dell city, California","3,374","3,388","3,358"
"Rio Vista city, California","10,105","10,246","10,375"
"Ripon city, California","16,074","16,424","16,272"
"Riverbank city, California","24,872","24,858","24,826"
"Riverside city, California","315,469","313,912","320,764"
"Rocklin city, California","71,861","73,082","73,857"
"Rohnert Park city, California","44,436","44,573","44,326"
"Rolling Hills city, California","1,734","1,699","1,676"
"Rolling Hills Estates city, California","8,263","8,146","8,018"
"Rosemead city, California","51,082","50,221","49,791"
"Roseville city, California","148,486","152,095","154,817"
"Ross town, California","2,342","2,339","2,300"
"Sacramento city, California","525,668","525,951","528,001"
"St. Helena city, California","5,425","5,391","5,196"
"Salinas city, California","163,296","163,076","161,020"
"San Anselmo town, California","12,804","12,747","12,569"
"San Bernardino city, California","222,028","221,242","220,328"
"San Bruno city, California","43,783","42,349","41,533"
"San Buenaventura (Ventura) city, California","110,518","110,027","109,527"
"San Carlos city, California","30,793","30,079","29,586"
"San Clemente city, California","64,257","63,842","63,457"
"Sand City city, California",323,330,328
"San Diego city, California","1,386,872","1,374,484","1,381,162"
"San Dimas city, California","34,804","34,086","33,535"
"San Fernando city, California","23,970","23,757","23,685"
"San Francisco city, California","870,393","811,253","808,437"
"San Gabriel city, California","39,449","38,676","38,140"
"Sanger city, California","26,624","26,721","26,600"
"San Jacinto city, California","54,064","55,287","55,470"
"San Joaquin city, California","3,698","3,689","3,704"
"San Jose city, California","1,009,830","981,466","971,233"
"San Juan Bautista city, California","2,091","2,141","2,124"
"San Juan Capistrano city, California","35,180","34,940","34,548"
"San Leandro city, California","90,707","88,440","86,762"
"San Luis Obispo city, California","47,152","47,633","48,341"
"San Marcos city, California","94,900","93,756","94,854"
"San Marino city, California","12,476","12,240","12,039"
"San Mateo city, California","105,327","102,400","100,984"
"San Pablo city, California","32,078","31,847","31,389"
"San Rafael city, California","61,130","60,814","59,971"
"San Ramon city, California","86,616","87,023","85,953"
"Santa Ana city, California","309,921","308,771","308,189"
"Santa Barbara city, California","88,676","88,316","87,533"
"Santa Clara city, California","127,894","127,958","126,930"
"Santa Clarita city, California","228,065","224,320","221,345"
"Santa Cruz city, California","62,885","54,941","61,800"
"Santa Fe Springs city, California","19,149","18,755","18,439"
"Santa Maria city, California","109,742","109,647","110,125"
"Santa Monica city, California","92,803","91,250","89,947"
"Santa Paula city, California","30,646","30,763","31,018"
"Santa Rosa city, California","177,835","177,149","177,181"
"Santee city, California","59,952","59,296","59,051"
"Saratoga city, California","30,941","30,132","29,903"
"Sausalito city, California","7,252","7,219","7,095"
"Scotts Valley city, California","12,235","12,215","12,073"
"Seal Beach city, California","25,183","24,921","24,627"
"Seaside city, California","32,323","32,074","31,478"
"Sebastopol city, California","7,521","7,477","7,338"
"Selma city, California","24,658","24,635","24,430"
"Shafter city, California","20,023","20,113","21,282"
"Shasta Lake city, California","10,371","10,407","10,335"
"Sierra Madre city, California","11,238","11,005","10,809"
"Signal Hill city, California","11,809","11,559","11,381"
"Simi Valley city, California","126,335","126,053","124,398"
"Solana Beach city, California","12,931","12,854","12,802"
"Soledad city, California","24,692","24,702","24,190"
"Solvang city, California","6,117","6,058","5,986"
"Sonoma city, California","10,719","10,669","10,466"
"Sonora city, California","5,000","5,008","4,956"
"South El Monte city, California","19,612","19,557","19,602"
"South Gate city, California","92,434","91,012","90,926"
"South Lake Tahoe city, California","21,296","21,423","21,175"
"South Pasadena city, California","26,851","26,285","25,850"
"South San Francisco city, California","66,124","64,361","63,484"
"Stanton city, California","37,938","38,025","38,952"
"Stockton city, California","321,023","322,607","321,819"
"Suisun City city, California","29,470","29,243","28,949"
"Sunnyvale city, California","155,264","152,030","153,091"
"Susanville city, California","16,426","15,419","13,707"
"Sutter Creek city, California","2,654","2,699","2,705"
"Taft city, California","7,466","7,048","7,034"
"Tehachapi city, California","12,990","12,311","12,389"
"Tehama city, California",426,423,423
"Temecula city, California","110,013","110,810","111,752"
"Temple City city, California","36,400","35,749","35,296"
"Thousand Oaks city, California","126,770","126,001","124,265"
"Tiburon town, California","9,129","9,092","8,938"
"Torrance city, California","146,589","143,509","141,126"
"Tracy city, California","93,413","95,252","97,328"
"Trinidad city, California",337,336,332
"Truckee town, California","16,735","17,038","16,850"
"Tulare city, California","69,255","70,788","70,693"
"Tulelake city, California",900,901,889
"Turlock city, California","72,694","72,216","72,309"
"Tustin city, California","79,896","79,346","78,418"
"Twentynine Palms city, California","28,079","28,345","28,158"
"Ukiah city, California","16,576","16,433","16,144"
"Union City city, California","69,985","68,363","67,039"
"Upland city, California","79,120","79,265","78,841"
"Vacaville city, California","101,806","101,447","101,918"
"Vallejo city, California","125,886","124,773","123,564"
"Vernon city, California",220,215,212
"Victorville city, California","134,632","135,921","137,221"
"Villa Park city, California","5,826","5,767","5,731"
"Visalia city, California","141,859","142,795","143,966"
"Vista city, California","98,390","98,563","97,766"
"Walnut city, California","28,347","27,776","27,356"
"Walnut Creek city, California","70,039","69,863","68,969"
"Wasco city, California","25,592","26,891","27,731"
"Waterford city, California","9,136","9,160","9,335"
"Watsonville city, California","52,506","52,017","51,525"
"Weed city, California","2,857","2,801","2,811"
"West Covina city, California","109,129","106,868","105,013"
"West Hollywood city, California","35,636","34,889","34,514"
"Westlake Village city, California","7,995","7,829","7,694"
"Westminster city, California","90,786","90,124","89,397"
"Westmorland city, California","2,008","2,002","1,990"
"West Sacramento city, California","53,914","53,983","55,064"
"Wheatland city, California","3,715","3,728","3,789"
"Whittier city, California","87,006","85,330","84,496"
"Wildomar city, California","36,912","37,197","37,214"
"Williams city, California","5,562","5,605","5,646"
"Willits city, California","4,969","4,963","4,885"
"Willows city, California","6,270","6,212","6,116"
"Windsor town, California","26,307","26,138","25,789"
"Winters city, California","7,129","7,358","7,540"
"Woodlake city, California","7,449","7,577","7,590"
"Woodland city, California","61,051","61,538","61,462"
"Woodside town, California","5,293","5,138","5,053"
"Yorba Linda city, California","68,330","67,925","67,089"
"Yountville city, California","3,427","3,420","3,356"
"Yreka city, California","7,793","7,826","7,827"
"Yuba City city, California","69,949","69,505","69,014"
"Yucaipa city, California","54,586","54,713","54,420"
"Yucca Valley town, California","21,751","21,817","21,662"
