"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"02/21/2020","AQS","410392013","1","29","ug/m3 SC","27","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","29"
"02/22/2020","AQS","410392013","1","31","ug/m3 SC","29","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","31"
"02/23/2020","AQS","410392013","1","15","ug/m3 SC","14","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","15"
"02/24/2020","AQS","410392013","1","15","ug/m3 SC","14","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","15"
"02/25/2020","AQS","410392013","1","19","ug/m3 SC","18","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","19"
"02/26/2020","AQS","410392013","1","20","ug/m3 SC","19","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","20"
"02/27/2020","AQS","410392013","1","18","ug/m3 SC","17","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","18"
"02/28/2020","AQS","410392013","1","22","ug/m3 SC","20","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","22"
"02/29/2020","AQS","410392013","1","6","ug/m3 SC","6","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","6"
"03/01/2020","AQS","410392013","1","6","ug/m3 SC","6","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","6"
